lib_mrq;lib_mod_doss;lib_mod;dscom;cnit;tvv;typ_cbr;hybride;puiss_admin_98;puiss_max;typ_boite_nb_rapp;conso_urb;conso_exurb;conso_mixte;co2;co_typ_1;hc;nox;hcnox;ptcl;masse_ordma_min;masse_ordma_max;champ_v9;date_maj;Carrosserie;gamme
TOYOTA;VERSO;VERSO;VERSO (126ch) D-4D FAP BVM6 5PL (Active);M10JT0VP002L438;AR2AUR20(WC)AUR20L-GWFDYW(2E);GO;non;7;93;M 6;6,4;4,6;5,3;139;0,186;;0,177;0,195;0,001;1615;1700;715/2007*692/2008EURO5;;MINISPACE;INFERIEURE
TOYOTA;VERSO;VERSO;VERSO (132ch) VVT-i BVM6 5PL (Sauf Active);M10JT0VP002L474;AR2ZGR20(WC)ZGR20L-GWFEPW(1E);ES;non;8;97;M 6;8,6;5,8;6,8;158;0,437;0,041;0,016;;;1495;1580;715/2007*692/2008EURO5;;MINISPACE;INFERIEURE
TOYOTA;IQ;IQ;iQ (90ch) D-4D FAP;M10JT0VP002N016;AJ1(a)NUJ10(GD)NUJ10L-BGFNWW(1F);GO;non;5;66;M 6;4,7;3,5;4;104;0,183;;0,167;0,181;0,002;1020;1050;715/2007*692/2008EURO5;;BERLINE;INFERIEURE
TOYOTA;VERSO;VERSO;VERSO (126ch) D-4D FAP BVM6 5PL (sauf Active);M10JT0VP002N440;AR2AUR20(WC)AUR20L-GWFEYW(2E);GO;non;7;93;M 6;6,4;4,6;5,3;139;0,186;;0,177;0,195;0,001;1615;1700;715/2007*692/2008EURO5;;MINISPACE;INFERIEURE
TOYOTA;VERSO;VERSO;VERSO (132ch) VVT-i BVM6 7PL (Active);M10JT0VP002R479;AR2ZGR20(WF)ZGR20L-GWFDPW(3E);ES;non;8;97;M 6;8,6;5,8;6,8;158;0,437;0,041;0,016;;;1495;1580;715/2007*692/2008EURO5;;MINISPACE;INFERIEURE
TOYOTA;VERSO;VERSO;VERSO (132ch) VVT-i BVM6 7PL (Sauf Active);M10JT0VP002R480;AR2ZGR20(WF)ZGR20L-GWFEPW(3E);ES;non;8;97;M 6;8,6;5,8;6,8;158;0,437;0,041;0,016;;;1495;1580;715/2007*692/2008EURO5;;MINISPACE;INFERIEURE
TOYOTA;VERSO;VERSO;VERSO (126ch) D-4D FAP BVM6 7PL (Active);M10JT0VP002X450;AR2AUR20(WF)AUR20L-GWFDYW(6E);GO;non;7;93;M 6;6,4;4,6;5,3;139;0,186;;0,177;0,195;0,001;1615;1700;715/2007*692/2008EURO5;;MINISPACE;INFERIEURE
TOYOTA;VERSO;VERSO;VERSO (126ch) D-4D FAP BVM6 7PL (Sauf Active);M10JT0VP002Z452;AR2AUR20(WF)AUR20L-GWFEYW(6E);GO;non;7;93;M 6;6,4;4,6;5,3;139;0,186;;0,177;0,195;0,001;1615;1700;715/2007*692/2008EURO5;;MINISPACE;INFERIEURE
TOYOTA;AVENSIS;AVENSIS;AVENSIS MC BERLINE (150ch) D-4D FAP BVM6 (Dynamic);M10JT0VP0032903;T27ADT271(ET)ADT271L-AEFEYW(1F);GO;non;8;110;M 6;7;4,5;5,4;143;0,141;;0,155;0,166;0,001;1590;1650;715/2007*692/2008EURO5;;BERLINE;MOY-SUPER
TOYOTA;AVENSIS;AVENSIS;AVENSIS MC BERLINE (150ch) D-4D FAP BVM6 (Style);M10JT0VP0033904;T27ADT271(ET)ADT271L-AEFGYW(1F);GO;non;8;110;M 6;7;4,5;5,4;143;0,141;;0,155;0,166;0,001;1590;1665;715/2007*692/2008EURO5;;BERLINE;MOY-SUPER
TOYOTA;AVENSIS;AVENSIS;AVENSIS MC BERLINE (150ch) D-4D FAP BVM6 (Lounge);M10JT0VP0034905;T27ADT271(ET)ADT271L-AEFGYW(2F);GO;non;8;110;M 6;7;4,6;5,5;145;0,141;;0,155;0,166;0,001;1590;1675;715/2007*692/2008EURO5;;BERLINE;MOY-SUPER
TOYOTA;VERSO S;VERSO S;VERSO-S (99ch) 1.33 VVT-i (Lounge);M10JT0VP0038485;XP12(a)NSP120(HC)NSP120L-CHFGKW(3B);ES;non;5;73;M 6;6,8;4,8;5,5;127;0,358;0,036;0,024;;;1145;1210;715/2007*692/2008EURO5;;MINISPACE;INFERIEURE
TOYOTA;VERSO S;VERSO S;VERSO-S (99ch) 1.33 VVT-i (Active et Dynamic);M10JT0VP0039486;XP12(a)NSP120(HC)NSP120L-CHFGKW(4B);ES;non;5;73;M 6;6,8;4,8;5,5;127;0,358;0,036;0,024;;;1145;1210;715/2007*692/2008EURO5;;MINISPACE;INFERIEURE
TOYOTA;AVENSIS;AVENSIS;AVENSIS MC BREAK (150ch) D-CAT FAP BVA6 (Sauf Lounge);M10JT0VP003B912;T27ADT271(WA)ADT271L-AWTGXW(1F);GO;non;9;110;A 6;8;5,5;6,4;170;0,08;;0,109;0,114;0,002;1635;1725;715/2007*692/2008EURO5;;BREAK;MOY-SUPER
TOYOTA;AVENSIS;AVENSIS;AVENSIS MC BREAK (150ch) D-CAT FAP BVA6 (Lounge);M10JT0VP003C913;T27ADT271(WA)ADT271L-AWTGXW(2F);GO;non;9;110;A 6;8,2;5,5;6,5;173;0,08;;0,109;0,114;0,002;1645;1725;715/2007*692/2008EURO5;;BREAK;MOY-SUPER
TOYOTA;VERSO S;VERSO S;VERSO-S (99ch) 1.33 VVT-i MultiDrive S (Lounge);M10JT0VP003E491;XP12(a)NSP120(HC)NSP120L-CHXGKW(3B);ES;non;5;73;V 0;6,2;4,6;5,2;120;0,29;0,046;0,007;;;1150;1215;715/2007*692/2008EURO5;;MINISPACE;INFERIEURE
TOYOTA;VERSO S;VERSO S;VERSO-S (99ch) 1.33 VVT-i MultiDrive S (Dynamic);M10JT0VP003F492;XP12(a)NSP120(HC)NSP120L-CHXGKW(4B);ES;non;5;73;V 0;6,2;4,6;5,2;120;0,29;0,046;0,007;;;1150;1215;715/2007*692/2008EURO5;;MINISPACE;INFERIEURE
TOYOTA;AURIS;AURIS;AURIS 5P (90ch) 1.4 D-4D FAP 110g/km;M10JT0VP003G008;E15UT(a)MS1NDE150(H)NDE150L-DHFEXW(1N);GO;non;5;66;M 6;5,1;3,7;4,2;110;0,177;;0,163;0,175;0,001;1280;1385;715/2007*692/2008EURO5;;BERLINE;MOY-INFER
TOYOTA;AVENSIS;AVENSIS;AVENSIS MC BREAK (124ch) D-4D FAP BVM6 (SkyView);M10JT0VP003J858;T27ADT270(W)ADT270L-AWFEYW(5F);GO;non;6;91;M 6;5,6;4;4,6;120;0,238;;0,164;0,178;0,001;1585;1710;715/2007*692/2008EURO5;;BREAK;MOY-SUPER
TOYOTA;AVENSIS;AVENSIS;AVENSIS MC BREAK (124ch) D-4D FAP BVM6 (Business);M10JT0VP003J859;T27ADT270(W)ADT270L-AWFEYW(7F);GO;non;6;91;M 6;5,6;4;4,6;120;0,238;;0,164;0,178;0,001;1585;1710;715/2007*692/2008EURO5;;BREAK;MOY-SUPER
TOYOTA;AVENSIS;AVENSIS;AVENSIS MC BREAK (150ch) D-4D FAP BVM6 (SkyView);M10JT0VP003J920;T27ADT271(WT)ADT271L-AWFEYW(1F);GO;non;8;110;M 6;7,1;4,6;5,5;147;0,141;;0,155;0,166;0,001;1620;1710;715/2007*692/2008EURO5;;BREAK;MOY-SUPER
TOYOTA;AVENSIS;AVENSIS;AVENSIS MC BREAK (150ch) D-4D FAP BVM6 (Style);M10JT0VP003K921;T27ADT271(WT)ADT271L-AWFGYW(1F);GO;non;8;110;M 6;7,1;4,6;5,5;147;0,141;;0,155;0,166;0,001;1620;1710;715/2007*692/2008EURO5;;BREAK;MOY-SUPER
TOYOTA;AVENSIS;AVENSIS;AVENSIS MC BREAK (150ch) D-4D FAP BVM6 (Lounge);M10JT0VP003L922;T27ADT271(WT)ADT271L-AWFGYW(2F);GO;non;8;110;M 6;7,2;4,7;5,6;149;0,141;;0,155;0,166;0,001;1620;1710;715/2007*692/2008EURO5;;BREAK;MOY-SUPER
TOYOTA;AVENSIS;AVENSIS;AVENSIS MC BREAK (124ch) D-4D FAP BVM6 (Style);M10JT0VP003N863;T27ADT270(W)ADT270L-AWFGYW(5F);GO;non;6;91;M 6;5,6;4;4,6;120;0,238;;0,164;0,178;0,001;1585;1710;715/2007*692/2008EURO5;;BREAK;MOY-SUPER
TOYOTA;AVENSIS;AVENSIS;AVENSIS MC BERLINE (147ch) VVT-i BVM6 (Dynamic);M10JT0VP003N960;T27ZRT271(E)ZRT271L-AEFEPW(2F);ES;non;8;108;M 6;8,6;5,4;6,5;152;0,416;0,033;0,025;;;1450;1530;715/2007*692/2008EURO5;;BERLINE;MOY-SUPER
TOYOTA;AVENSIS;AVENSIS;AVENSIS MC BERLINE (124ch) D-4D FAP BVM6 (Dynamic);M10JT0VP003P828;T27ADT270(E)ADT270L-AEFEYW(5F);GO;non;6;91;M 6;5,6;3,9;4,5;119;0,238;;0,164;0,178;0,001;1555;1655;715/2007*692/2008EURO5;;BERLINE;MOY-SUPER
TOYOTA;AVENSIS;AVENSIS;AVENSIS MC BERLINE (124ch) D-4D FAP BVM6 (Business);M10JT0VP003P829;T27ADT270(E)ADT270L-AEFEYW(7F);GO;non;6;91;M 6;5,6;3,9;4,5;119;0,238;;0,164;0,178;0,001;1555;1645;715/2007*692/2008EURO5;;BERLINE;MOY-SUPER
TOYOTA;AVENSIS;AVENSIS;AVENSIS MC BERLINE (147ch) VVT-i BVM6 (Style);M10JT0VP003P961;T27ZRT271(E)ZRT271L-AEFGPW(2F);ES;non;8;108;M 6;8,6;5,4;6,5;152;0,416;0,033;0,025;;;1460;1530;715/2007*692/2008EURO5;;BERLINE;MOY-SUPER
TOYOTA;VERSO S;VERSO S;VERSO-S (90ch) 1.4 D-4D (Lounge);M10JT0VP003R478;XP12(a)NLP121(HC)NLP121L-CHFGXW(1B);GO;non;5;66;M 6;5;3,9;4,3;113;0,186;;0,142;0,159;0,001;1210;1275;715/2007*692/2008EURO5;;MINISPACE;INFERIEURE
TOYOTA;VERSO S;VERSO S;VERSO-S (90ch) 1.4 D-4D (Active et Dynamic);M10JT0VP003R479;XP12(a)NLP121(HC)NLP121L-CHFGXW(2B);GO;non;5;66;M 6;5;3,9;4,3;113;0,186;;0,142;0,159;0,001;1210;1275;715/2007*692/2008EURO5;;MINISPACE;INFERIEURE
TOYOTA;AVENSIS;AVENSIS;AVENSIS MC BERLINE (124ch) D-4D FAP BVM6 (Style);M10JT0VP003R831;T27ADT270(E)ADT270L-AEFGYW(5F);GO;non;6;91;M 6;5,6;3,9;4,5;119;0,238;;0,164;0,178;0,001;1555;1655;715/2007*692/2008EURO5;;BERLINE;MOY-SUPER
TOYOTA;VERSO S;VERSO S;VERSO-S (90ch) 1.4 D-4D MultiMode (Lounge);M10JT0VP003T481;XP12(a)NLP121(HC)NLP121L-CHLGXW(1B);GO;non;5;66;A 6;5;4;4,4;115;0,129;;0,133;0,148;0;1215;1280;715/2007*692/2008EURO5;;MINISPACE;INFERIEURE
TOYOTA;VERSO S;VERSO S;VERSO-S (90ch) 1.4 D-4D MultiMode (Dynamic);M10JT0VP003U482;XP12(a)NLP121(HC)NLP121L-CHLGXW(2B);GO;non;5;66;A 6;5;4;4,4;115;0,129;;0,133;0,148;0;1215;1280;715/2007*692/2008EURO5;;MINISPACE;INFERIEURE
TOYOTA;AVENSIS;AVENSIS;AVENSIS MC BERLINE (150ch) D-CAT FAP BVA6 (sauf Lounge);M10JT0VP003U895;T27ADT271(EA)ADT271L-AETGXW(1F);GO;non;9;110;A 6;7,9;5,3;6,2;165;0,08;;0,109;0,114;0,002;1605;1685;715/2007*692/2008EURO5;;BERLINE;MOY-SUPER
TOYOTA;AVENSIS;AVENSIS;AVENSIS MC BERLINE (150ch) D-CAT FAP BVA6 (Lounge);M10JT0VP003V896;T27ADT271(EA)ADT271L-AETGXW(2F);GO;non;9;110;A 6;7,9;5,4;6,3;167;0,08;;0,109;0,114;0,002;1610;1690;715/2007*692/2008EURO5;;BERLINE;MOY-SUPER
TOYOTA;AYGO;AYGO;AYGO MC2 5P 1.0 VVT-i (Active);M10JT0VP0040221;AB1KGB10(H)KGB10L-AHMRKW(3K);ES;non;4;50;M 5;5,1;3,8;4,3;99;0,419;0,035;0,006;;;880;930;715/2007*566/2011EURO5;;BERLINE;ECONOMIQUE
TOYOTA;YARIS;YARIS;NOUVELLE YARIS (99ch) 5P 1.33 VVT-i (Style);M10JT0VP0040706;XP13M(a)NSP13F(MH)NSP130L-CHFSKW(3C);ES;non;5;73;M 6;6,8;4,7;5,5;127;0,257;0,033;0,027;;;1100;1140;715/2007*692/2008EURO5;;BERLINE;INFERIEURE
TOYOTA;RAV4;RAV4;RAV4 LeCap (150ch) D-4D FAP 2WD BVM6;M10JT0VP0041125;XA3(a)ALA35(WD)ALA35L-BWFXRW(2J);GO;non;9;110;M 6;7,4;5,2;6;156;0,234;0,022;0,138;0,16;0,079;1620;1680;715/2007*692/2008EURO5;;TS TERRAINS/CHEMINS;MOY-SUPER
TOYOTA;YARIS;YARIS;NOUVELLE YARIS (90ch) 5P 1.4 D-4D FAP (Lounge);M10JT0VP0041513;XP13M(a)NLP13F(MH)NLP130L-CHFGXW(1C);GO;non;5;66;M 6;4,8;3,5;3,9;104;0,193;;0,141;0,151;0,001;1140;1190;715/2007*692/2008EURO5;;BERLINE;INFERIEURE
TOYOTA;YARIS;YARIS;NOUVELLE YARIS (90ch) 5P 1.4 D-4D FAP (Dynamic);M10JT0VP0043515;XP13M(a)NLP13F(MH)NLP130L-CHFNXW(1C);GO;non;5;66;M 6;4,8;3,5;3,9;104;0,193;;0,141;0,151;0,001;1140;1190;715/2007*692/2008EURO5;;BERLINE;INFERIEURE
TOYOTA;YARIS;YARIS;NOUVELLE YARIS (99ch) 3P 1.33 VVT-i MultiDrive S (Dynamic);M10JT0VP0044613;XP13M(a)NSP13F(MG)NSP130L-CGXNKW(4C);ES;non;5;73;V 0;6,2;4,5;5,1;118;0,24;0,04;0,008;;;1110;1150;715/2007*692/2008EURO5;;BERLINE;INFERIEURE
TOYOTA;YARIS;YARIS;NOUVELLE YARIS (99ch) 5P 1.33 VVT-i MultiDrive S (Lounge);M10JT0VP0044710;XP13M(a)NSP13F(MH)NSP130L-CHXGKW(3C);ES;non;5;73;V 0;6,2;4,5;5,1;118;0,24;0,04;0,008;;;1110;1150;715/2007*692/2008EURO5;;BERLINE;INFERIEURE
TOYOTA;YARIS;YARIS;NOUVELLE YARIS (90ch) 5P 1.4 D-4D FAP (Tendance);M10JT0VP0046518;XP13M(a)NLP13F(MH)NLP130L-CHFRXW(1C);GO;non;5;66;M 6;4,8;3,5;3,9;104;0,193;;0,141;0,151;0,001;1135;1190;715/2007*692/2008EURO5;;BERLINE;INFERIEURE
TOYOTA;YARIS;YARIS;NOUVELLE YARIS (90ch) 5P 1.4 D-4D FAP (Active);M10JT0VP0047519;XP13M(a)NLP13F(MH)NLP130L-CHFRXW(2C);GO;non;5;66;M 6;4,8;3,4;3,9;103;0,193;;0,141;0,151;0,001;1135;1190;715/2007*692/2008EURO5;;BERLINE;INFERIEURE
TOYOTA;86;GT86;GT86 Coup‚ BoŒte automatique 6 rapports;M10JT0VP0047846;ZNZN6ZN6-ALE7(7A);ES;non;12;147;A 6;9,6;5,7;7,1;164;0,286;0,051;0,012;;0,001;1328;1355;715/2007*566/2011EURO5;;COUPE;MOY-INFER
TOYOTA;YARIS;YARIS;NOUVELLE YARIS HYBRIDE (100ch) 5P 100h (Style);M10JT0VP0049460;XP13M(a)NHP13(MH)NHP130L-CHXGBW(3C);ES;oui;4;55;V 0;3,4;3,7;3,7;85;0,197;0,044;0,006;;;1170;1235;715/2007*566/2011EURO5;;BERLINE;INFERIEURE
TOYOTA;YARIS;YARIS;NOUVELLE YARIS (90ch) 5P 1.4 D-4D FAP (Style);M10JT0VP0049521;XP13M(a)NLP13F(MH)NLP130L-CHFSXW(1C);GO;non;5;66;M 6;4,9;3,6;4,1;108;0,193;;0,141;0,151;0,001;1140;1190;715/2007*692/2008EURO5;;BERLINE;INFERIEURE
TOYOTA;YARIS;YARIS;NOUVELLE YARIS (99ch) 3P 1.33 VVT-i MultiDrive S (Style);M10JT0VP0049618;XP13M(a)NSP13F(MG)NSP130L-CGXSKW(3C);ES;non;5;73;V 0;6,3;4,6;5,3;121;0,24;0,04;0,008;;;1110;1150;715/2007*692/2008EURO5;;BERLINE;INFERIEURE
TOYOTA;YARIS;YARIS;NOUVELLE YARIS (99ch) 5P 1.33 VVT-i MultiDrive S (Dynamic);M10JT0VP0049715;XP13M(a)NSP13F(MH)NSP130L-CHXNKW(4C);ES;non;5;73;V 0;6,2;4,5;5,1;118;0,24;0,04;0,008;;;1110;1150;715/2007*692/2008EURO5;;BERLINE;INFERIEURE
TOYOTA;86;GT86;GT86 Coup‚ BoŒte m‚canique 6 rapports;M10JT0VP0049848;ZNZN6ZN6-ALE8(7A);ES;non;12;147;M 6;10,4;6,4;7,8;181;0,236;0,039;0,016;;0;1305;1333;715/2007*566/2011EURO5;;COUPE;MOY-INFER
TOYOTA;AURIS;AURIS;AURIS HYBRIDE (136ch) 5P (Connect/Millenium 17'' et Millenium Pack);M10JT0VP0049970;HE15U(a)ZWE150(H)ZWE150L-DHXNBW(1P);ES;oui;5;73;V 0;4;4;4;93;0,171;0,034;0,007;;;1455;1495;715/2007*692/2008EURO5;;BERLINE;MOY-INFER
TOYOTA;RAV4;RAV4;RAV4 LeCap (150ch) D-4D FAP 4WD BVM6;M10JT0VP004A098;XA3(a)ALA30(WD)ALA30L-BWFXRW(2J);GO;non;9;110;M 6;7,5;5,2;6;159;0,234;;0,138;0,16;0,079;1670;1730;715/2007*692/2008EURO5;;TS TERRAINS/CHEMINS;MOY-SUPER
TOYOTA;YARIS;YARIS;NOUVELLE YARIS HYBRIDE (100ch) 5P 100h (Dynamic);M10JT0VP004A461;XP13M(a)NHP13(MH)NHP130L-CHXNBW(1C);ES;oui;3;55;V 0;3,1;3,5;3,5;79;0,197;0,044;0,006;;;1160;1225;715/2007*566/2011EURO5;;BERLINE;INFERIEURE
TOYOTA;YARIS;YARIS;NOUVELLE YARIS (90ch) 3P 1.4 D-4D FAP MultiMode (Lounge);M10JT0VP004A486;XP13M(a)NLP13F(MG)NLP130L-CGLGXW(1C);GO;non;5;66;A 6;4,8;3,5;4;105;0,139;;0,131;0,139;0,001;1145;1195;715/2007*692/2008EURO5;;BERLINE;INFERIEURE
TOYOTA;AURIS;AURIS;AURIS HYBRIDE (136ch) 5P (Connect/Millenium 15'');M10JT0VP004A971;HE15U(a)ZWE150(H)ZWE150L-DHXNBW(2P);ES;oui;5;73;V 0;3,8;3,8;3,8;89;0,171;0,034;0,007;;;1455;1495;715/2007*692/2008EURO5;;BERLINE;MOY-INFER
TOYOTA;YARIS;YARIS;NOUVELLE YARIS (90ch) 5P 1.4 D-4D FAP MultiMode (Lounge);M10JT0VP004B523;XP13M(a)NLP13F(MH)NLP130L-CHLGXW(1C);GO;non;5;66;A 6;4,8;3,5;4;105;0,139;;0,131;0,139;0,001;1145;1195;715/2007*692/2008EURO5;;BERLINE;INFERIEURE
TOYOTA;YARIS;YARIS;NOUVELLE YARIS (90ch) 3P 1.4 D-4D FAP MultiMode (Dynamic);M10JT0VP004C488;XP13M(a)NLP13F(MG)NLP130L-CGLNXW(1C);GO;non;5;66;A 6;4,8;3,5;4;105;0,139;;0,131;0,139;0,001;1145;1195;715/2007*692/2008EURO5;;BERLINE;INFERIEURE
TOYOTA;YARIS;YARIS;NOUVELLE YARIS (90ch) 5P 1.4 D-4D FAP MultiMode (Dynamic);M10JT0VP004D525;XP13M(a)NLP13F(MH)NLP130L-CHLNXW(1C);GO;non;5;66;A 6;4,8;3,5;4;105;0,139;;0,131;0,139;0,001;1145;1195;715/2007*692/2008EURO5;;BERLINE;INFERIEURE
TOYOTA;YARIS;YARIS;NOUVELLE YARIS (99ch) 5P 1.33 VVT-i MultiDrive S (Style);M10JT0VP004E720;XP13M(a)NSP13F(MH)NSP130L-CHXSKW(3C);ES;non;5;73;V 0;6,3;4,6;5,3;121;0,24;0,04;0,008;;;1110;1150;715/2007*692/2008EURO5;;BERLINE;INFERIEURE
TOYOTA;YARIS;YARIS;NOUVELLE YARIS (90ch) 3P 1.4 D-4D FAP MultiMode (Style);M10JT0VP004F491;XP13M(a)NLP13F(MG)NLP130L-CGLSXW(1C);GO;non;5;66;A 6;4,9;3,7;4,1;109;0,139;;0,131;0,139;0,001;1145;1195;715/2007*692/2008EURO5;;BERLINE;INFERIEURE
TOYOTA;YARIS;YARIS;NOUVELLE YARIS (99ch) 3P 1.33 VVT-i (Lounge);M10JT0VP004F588;XP13M(a)NSP13F(MG)NSP130L-CGFGKW(3C);ES;non;5;73;M 6;6,8;4,5;5,4;123;0,257;0,033;0,027;;;1100;1140;715/2007*692/2008EURO5;;BERLINE;INFERIEURE
TOYOTA;PRIUS;PRIUS;"""PRIUS (136ch) 17""""""";M10JT0VP004G079;XW3(a)ZVW30(H)ZVW30L-AHXEBW(1D);ES;oui;5;73;V 0;4;3,8;4;92;0,258;0,058;0,006;;;1440;1500;715/2007*692/2008EURO5;;BERLINE;MOY-SUPER
TOYOTA;YARIS;YARIS;NOUVELLE YARIS (69ch) 5P 1.0 VVT-i (Dynamic);M10JT0VP004G431;XP13M(a)KSP13F(MH)KSP130L-CHMNKW(1C);ES;non;4;51;M 5;5,8;4,3;4,8;111;0,399;0,034;0,021;;;1055;1100;715/2007*692/2008EURO5;;BERLINE;INFERIEURE
TOYOTA;YARIS;YARIS;NOUVELLE YARIS (90ch) 5P 1.4 D-4D FAP MultiMode (Style);M10JT0VP004G528;XP13M(a)NLP13F(MH)NLP130L-CHLSXW(1C);GO;non;5;66;A 6;4,9;3,7;4,1;109;0,139;;0,131;0,139;0,001;1145;1195;715/2007*692/2008EURO5;;BERLINE;INFERIEURE
TOYOTA;PRIUS;PRIUS;"""PRIUS (136ch) 15""""""";M10JT0VP004H080;XW3(a)ZVW30(H)ZVW30L-AHXEBW(2D);ES;oui;5;73;V 0;3,9;3,7;3,9;89;0,258;0,058;0,006;;;1440;1500;715/2007*692/2008EURO5;;BERLINE;MOY-SUPER
TOYOTA;AYGO;AYGO;AYGO MC2 3P 1.0 VVT-i MMT (Dynamic, Style);M10JT0VP004H202;AB1KGB10(G)KGB10L-AGGGKW(1K);ES;non;4;50;A 5;5,4;4;4,5;104;0,442;0,031;0,006;;;905;930;715/2007*566/2011EURO5;;BERLINE;ECONOMIQUE
TOYOTA;PRIUS PLUS;PRIUS+;"""Prius+ 15""""""";M10JT0VP004H299;XW4(a)ZVW40(W)ZVW40L-AWXEBW(1A);ES;oui;5;73;V 0;3,8;4,2;4,1;96;0,101;0,014;0,007;;;1570;1640;715/2007*566/2011EURO5;;BERLINE;MOY-SUPER
TOYOTA;RAV4;RAV4;RAV4 (158ch) VVT-i 4WD CVT-7;M10JT0VP004J143;XA3(a)ZSA30(W)ZSA30L-BWXGPW(3J);ES;non;9;116;V 0;9,6;6,5;7,6;177;0,308;0,039;0,01;;;1580;1645;715/2007*692/2008EURO5;;TS TERRAINS/CHEMINS;MOY-SUPER
TOYOTA;AYGO;AYGO;AYGO MC2 3P 1.0 VVT-i  (Dynamic, Style);M10JT0VP004J204;AB1KGB10(G)KGB10L-AGMGKW(3K);ES;non;4;50;M 5;5,1;3,8;4,3;99;0,419;0,035;0,006;;;895;925;715/2007*566/2011EURO5;;BERLINE;ECONOMIQUE
TOYOTA;PRIUS PLUS;PRIUS+;"""Prius+ 17""""""";M10JT0VP004J300;XW4(a)ZVW40(W)ZVW40L-AWXEBW(2A);ES;oui;5;73;V 0;4,3;4,3;4,4;101;0,101;0,014;0,007;;;1570;1640;715/2007*566/2011EURO5;;BERLINE;MOY-SUPER
TOYOTA;YARIS;YARIS;NOUVELLE YARIS (69ch) 5P 1.0 VVT-i (Tendance);M10JT0VP004J434;XP13M(a)KSP13F(MH)KSP130L-CHMRKW(1C);ES;non;4;51;M 5;5,8;4,3;4,8;111;0,399;0,034;0,021;;;1045;1100;715/2007*692/2008EURO5;;BERLINE;INFERIEURE
TOYOTA;YARIS;YARIS;NOUVELLE YARIS (69ch) 5P 1.0 VVT-i (Active);M10JT0VP004K435;XP13M(a)KSP13F(MH)KSP130L-CHMRKW(2C);ES;non;4;51;M 5;5,7;4,2;4,8;110;0,399;0,034;0,021;;;1045;1100;715/2007*692/2008EURO5;;BERLINE;INFERIEURE
TOYOTA;YARIS;YARIS;NOUVELLE YARIS (99ch) 3P 1.33 VVT-i (Dynamic);M10JT0VP004K593;XP13M(a)NSP13F(MG)NSP130L-CGFNKW(4C);ES;non;5;73;M 6;6,8;4,5;5,4;123;0,257;0,033;0,027;;;1100;1140;715/2007*692/2008EURO5;;BERLINE;INFERIEURE
TOYOTA;YARIS;YARIS;NOUVELLE YARIS (99ch) 5P 1.33 VVT-i (Lounge);M10JT0VP004K690;XP13M(a)NSP13F(MH)NSP130L-CHFGKW(3C);ES;non;5;73;M 6;6,8;4,5;5,4;123;0,257;0,033;0,027;;;1100;1140;715/2007*692/2008EURO5;;BERLINE;INFERIEURE
TOYOTA;AYGO;AYGO;AYGO MC2 3P 1.0 VVT-i (Active);M10JT0VP004L206;AB1KGB10(G)KGB10L-AGMRKW(3K);ES;non;4;50;M 5;5,1;3,8;4,3;99;0,419;0,035;0,006;;;875;920;715/2007*566/2011EURO5;;BERLINE;ECONOMIQUE
TOYOTA;YARIS;YARIS;NOUVELLE YARIS (69ch) 3P 1.0 VVT-i (Dynamic);M10JT0VP004M401;XP13M(a)KSP13F(MG)KSP130L-CGMNKW(1C);ES;non;4;51;M 5;5,8;4,3;4,8;111;0,399;0,034;0,021;;;1055;1100;715/2007*692/2008EURO5;;BERLINE;INFERIEURE
TOYOTA;RAV4;RAV4;RAV4 Life (150ch) D-CAT FAP 4WD BVA6;M10JT0VP004N086;XA3(a)ALA30(WA)ALA30L-BWTGXW(2J);GO;non;9;110;A 6;8,7;6,1;7,1;186;0,089;;0,096;0,102;0,001;1685;1725;715/2007*692/2008EURO5;;TS TERRAINS/CHEMINS;MOY-SUPER
TOYOTA;RAV4;RAV4;RAV4 Lounge (150ch) D-CAT FAP 4WD BVA6;M10JT0VP004P087;XA3(a)ALA30(WA)ALA30L-BWTGXW(3J);GO;non;9;110;A 6;8,8;6,2;7,2;189;0,089;;0,096;0,102;0,001;1685;1725;715/2007*692/2008EURO5;;TS TERRAINS/CHEMINS;MOY-SUPER
TOYOTA;YARIS;YARIS;NOUVELLE YARIS (69ch) 3P 1.0 VVT-i (Tendance);M10JT0VP004P404;XP13M(a)KSP13F(MG)KSP130L-CGMRKW(1C);ES;non;4;51;M 5;5,8;4,3;4,8;111;0,399;0,034;0,021;;;1045;1100;715/2007*692/2008EURO5;;BERLINE;INFERIEURE
TOYOTA;YARIS;YARIS;NOUVELLE YARIS (90ch) 3P 1.4 D-4D FAP (Lounge);M10JT0VP004P476;XP13M(a)NLP13F(MG)NLP130L-CGFGXW(1C);GO;non;5;66;M 6;4,8;3,5;3,9;104;0,193;;0,141;0,151;0,001;1140;1190;715/2007*692/2008EURO5;;BERLINE;INFERIEURE
TOYOTA;YARIS;YARIS;NOUVELLE YARIS (99ch) 5P 1.33 VVT-i (Dynamic);M10JT0VP004P695;XP13M(a)NSP13F(MH)NSP130L-CHFNKW(4C);ES;non;5;73;M 6;6,8;4,5;5,4;123;0,257;0,033;0,027;;;1100;1140;715/2007*692/2008EURO5;;BERLINE;INFERIEURE
